# 9-point isotropic stencil, Laplace equation on unit square
# BC: u = 4*x*(1-x) on top edge (y=1); u = 0 elsewhere
# Columns: x   y   u_numerical   u_exact
#
   2.857143E-01   1.904762E-01   4.435691E-02   4.435701E-02
   3.333333E-01   1.904762E-01   4.912495E-02   4.912505E-02
   3.809524E-01   1.904762E-01   5.279563E-02   5.279574E-02
   4.285714E-01   1.904762E-01   5.528832E-02   5.528843E-02
   4.761905E-01   1.904762E-01   5.654844E-02   5.654855E-02
   5.238095E-01   1.904762E-01   5.654844E-02   5.654855E-02
   5.714286E-01   1.904762E-01   5.528832E-02   5.528843E-02
   6.190476E-01   1.904762E-01   5.279563E-02   5.279574E-02
   6.666667E-01   1.904762E-01   4.912495E-02   4.912505E-02
   7.142857E-01   1.904762E-01   4.435691E-02   4.435701E-02
   7.619048E-01   1.904762E-01   3.859665E-02   3.859673E-02
   8.095238E-01   1.904762E-01   3.197173E-02   3.197180E-02
   8.571429E-01   1.904762E-01   2.462952E-02   2.462957E-02
   9.047619E-01   1.904762E-01   1.673402E-02   1.673406E-02
   9.523810E-01   1.904762E-01   8.462219E-03   8.462238E-03
   1.000000E+00   1.904762E-01   0.000000E+00   6.953428E-18

   0.000000E+00   2.380952E-01   0.000000E+00   0.000000E+00
   4.761905E-02   2.380952E-01   1.093052E-02   1.093055E-02
   9.523810E-02   2.380952E-01   2.161466E-02   2.161471E-02
   1.428571E-01   2.380952E-01   3.181199E-02   3.181206E-02
   1.904762E-01   2.380952E-01   4.129374E-02   4.129383E-02
   2.380952E-01   2.380952E-01   4.984813E-02   4.984824E-02
   2.857143E-01   2.380952E-01   5.728506E-02   5.728518E-02
   3.333333E-01   2.380952E-01   6.344016E-02   6.344030E-02
   3.809524E-01   2.380952E-01   6.817815E-02   6.817829E-02
   4.285714E-01   2.380952E-01   7.139534E-02   7.139549E-02
   4.761905E-01   2.380952E-01   7.302162E-02   7.302177E-02
   5.238095E-01   2.380952E-01   7.302162E-02   7.302177E-02
   5.714286E-01   2.380952E-01   7.139534E-02   7.139549E-02
   6.190476E-01   2.380952E-01   6.817815E-02   6.817829E-02
   6.666667E-01   2.380952E-01   6.344016E-02   6.344030E-02
   7.142857E-01   2.380952E-01   5.728506E-02   5.728518E-02
   7.619048E-01   2.380952E-01   4.984813E-02   4.984824E-02
   8.095238E-01   2.380952E-01   4.129374E-02   4.129383E-02
   8.571429E-01   2.380952E-01   3.181199E-02   3.181206E-02
   9.047619E-01   2.380952E-01   2.161466E-02   2.161471E-02
   9.523810E-01   2.380952E-01   1.093052E-02   1.093055E-02
   1.000000E+00   2.380952E-01   0.000000E+00   8.981701E-18

   0.000000E+00   2.857143E-01   0.000000E+00   0.000000E+00
   4.761905E-02   2.857143E-01   1.364620E-02   1.364624E-02
   9.523810E-02   2.857143E-01   2.698408E-02   2.698414E-02
   1.428571E-01   2.857143E-01   3.971289E-02   3.971298E-02
   1.904762E-01   2.857143E-01   5.154676E-02   5.154687E-02
   2.380952E-01   2.857143E-01   6.222138E-02   6.222152E-02
   2.857143E-01   2.857143E-01   7.149989E-02   7.150004E-02
   3.333333E-01   2.857143E-01   7.917780E-02   7.917796E-02
   3.809524E-01   2.857143E-01   8.508706E-02   8.508723E-02
   4.285714E-01   2.857143E-01   8.909909E-02   8.909927E-02
   4.761905E-01   2.857143E-01   9.112699E-02   9.112718E-02
   5.238095E-01   2.857143E-01   9.112699E-02   9.112718E-02
   5.714286E-01   2.857143E-01   8.909909E-02   8.909927E-02
   6.190476E-01   2.857143E-01   8.508706E-02   8.508723E-02
   6.666667E-01   2.857143E-01   7.917780E-02   7.917796E-02
   7.142857E-01   2.857143E-01   7.149989E-02   7.150004E-02
   7.619048E-01   2.857143E-01   6.222138E-02   6.222152E-02
   8.095238E-01   2.857143E-01   5.154676E-02   5.154687E-02
   8.571429E-01   2.857143E-01   3.971289E-02   3.971298E-02
   9.047619E-01   2.857143E-01   2.698408E-02   2.698414E-02
   9.523810E-01   2.857143E-01   1.364620E-02   1.364624E-02
   1.000000E+00   2.857143E-01   0.000000E+00   1.121331E-17

   0.000000E+00   3.333333E-01   0.000000E+00   0.000000E+00
   4.761905E-02   3.333333E-01   1.667149E-02   1.667153E-02
   9.523810E-02   3.333333E-01   3.296506E-02   3.296513E-02
   1.428571E-01   3.333333E-01   4.851233E-02   4.851244E-02
   1.904762E-01   3.333333E-01   6.296362E-02   6.296376E-02
   2.380952E-01   3.333333E-01   7.599618E-02   7.599635E-02
   2.857143E-01   3.333333E-01   8.732140E-02   8.732159E-02
   3.333333E-01   3.333333E-01   9.669069E-02   9.669089E-02
   3.809524E-01   3.333333E-01   1.039002E-01   1.039004E-01
   4.285714E-01   3.333333E-01   1.087942E-01   1.087944E-01
   4.761905E-01   3.333333E-01   1.112676E-01   1.112678E-01
   5.238095E-01   3.333333E-01   1.112676E-01   1.112678E-01
   5.714286E-01   3.333333E-01   1.087942E-01   1.087944E-01
   6.190476E-01   3.333333E-01   1.039002E-01   1.039004E-01
   6.666667E-01   3.333333E-01   9.669069E-02   9.669089E-02
   7.142857E-01   3.333333E-01   8.732140E-02   8.732159E-02
   7.619048E-01   3.333333E-01   7.599618E-02   7.599635E-02
   8.095238E-01   3.333333E-01   6.296362E-02   6.296376E-02
   8.571429E-01   3.333333E-01   4.851233E-02   4.851244E-02
   9.047619E-01   3.333333E-01   3.296506E-02   3.296513E-02
   9.523810E-01   3.333333E-01   1.667149E-02   1.667153E-02
   1.000000E+00   3.333333E-01   0.000000E+00   1.369941E-17

   0.000000E+00   3.809524E-01   0.000000E+00   0.000000E+00
   4.761905E-02   3.809524E-01   2.007631E-02   2.007636E-02
   9.523810E-02   3.809524E-01   3.969546E-02   3.969556E-02
   1.428571E-01   3.809524E-01   5.841228E-02   5.841242E-02
   1.904762E-01   3.809524E-01   7.580492E-02   7.580510E-02
   2.380952E-01   3.809524E-01   9.148504E-02   9.148524E-02
   2.857143E-01   3.809524E-01   1.051063E-01   1.051066E-01
   3.333333E-01   3.809524E-01   1.163714E-01   1.163717E-01
   3.809524E-01   3.809524E-01   1.250372E-01   1.250375E-01
   4.285714E-01   3.809524E-01   1.309185E-01   1.309187E-01
   4.761905E-01   3.809524E-01   1.338905E-01   1.338907E-01
   5.238095E-01   3.809524E-01   1.338905E-01   1.338907E-01
   5.714286E-01   3.809524E-01   1.309185E-01   1.309187E-01
   6.190476E-01   3.809524E-01   1.250372E-01   1.250375E-01
   6.666667E-01   3.809524E-01   1.163714E-01   1.163717E-01
   7.142857E-01   3.809524E-01   1.051063E-01   1.051066E-01
   7.619048E-01   3.809524E-01   9.148504E-02   9.148524E-02
   8.095238E-01   3.809524E-01   7.580492E-02   7.580510E-02
   8.571429E-01   3.809524E-01   5.841228E-02   5.841242E-02
   9.047619E-01   3.809524E-01   3.969546E-02   3.969556E-02
   9.523810E-01   3.809524E-01   2.007631E-02   2.007636E-02
   1.000000E+00   3.809524E-01   0.000000E+00   1.649754E-17

   0.000000E+00   4.285714E-01   0.000000E+00   0.000000E+00
   4.761905E-02   4.285714E-01   2.394031E-02   2.394038E-02
   9.523810E-02   4.285714E-01   4.733212E-02   4.733224E-02
   1.428571E-01   4.285714E-01   6.964202E-02   6.964219E-02
   1.904762E-01   4.285714E-01   9.036582E-02   9.036603E-02
   2.380952E-01   4.285714E-01   1.090409E-01   1.090412E-01
   2.857143E-01   4.285714E-01   1.252565E-01   1.252568E-01
   3.333333E-01   4.285714E-01   1.386612E-01   1.386615E-01
   3.809524E-01   4.285714E-01   1.489689E-01   1.489692E-01
   4.285714E-01   4.285714E-01   1.559624E-01   1.559627E-01
   4.761905E-01   4.285714E-01   1.594958E-01   1.594961E-01
   5.238095E-01   4.285714E-01   1.594958E-01   1.594961E-01
   5.714286E-01   4.285714E-01   1.559624E-01   1.559627E-01
   6.190476E-01   4.285714E-01   1.489689E-01   1.489692E-01
   6.666667E-01   4.285714E-01   1.386612E-01   1.386615E-01
   7.142857E-01   4.285714E-01   1.252565E-01   1.252568E-01
   7.619048E-01   4.285714E-01   1.090409E-01   1.090412E-01
   8.095238E-01   4.285714E-01   9.036582E-02   9.036603E-02
   8.571429E-01   4.285714E-01   6.964202E-02   6.964219E-02
   9.047619E-01   4.285714E-01   4.733212E-02   4.733224E-02
   9.523810E-01   4.285714E-01   2.394031E-02   2.394038E-02
   1.000000E+00   4.285714E-01   0.000000E+00   1.967323E-17

   0.000000E+00   4.761905E-01   0.000000E+00   0.000000E+00
   4.761905E-02   4.761905E-01   2.835537E-02   2.835545E-02
   9.523810E-02   4.761905E-01   5.605562E-02   5.605577E-02
   1.428571E-01   4.761905E-01   8.246485E-02   8.246507E-02
   1.904762E-01   4.761905E-01   1.069841E-01   1.069844E-01
   2.380952E-01   4.761905E-01   1.290663E-01   1.290666E-01
   2.857143E-01   4.761905E-01   1.482284E-01   1.482288E-01
   3.333333E-01   4.761905E-01   1.640596E-01   1.640599E-01
   3.809524E-01   4.761905E-01   1.762268E-01   1.762271E-01
   4.285714E-01   4.761905E-01   1.844786E-01   1.844790E-01
   4.761905E-01   4.761905E-01   1.886467E-01   1.886471E-01
   5.238095E-01   4.761905E-01   1.886467E-01   1.886471E-01
   5.714286E-01   4.761905E-01   1.844786E-01   1.844790E-01
   6.190476E-01   4.761905E-01   1.762268E-01   1.762271E-01
   6.666667E-01   4.761905E-01   1.640596E-01   1.640599E-01
   7.142857E-01   4.761905E-01   1.482284E-01   1.482288E-01
   7.619048E-01   4.761905E-01   1.290663E-01   1.290666E-01
   8.095238E-01   4.761905E-01   1.069841E-01   1.069844E-01
   8.571429E-01   4.761905E-01   8.246485E-02   8.246507E-02
   9.047619E-01   4.761905E-01   5.605562E-02   5.605577E-02
   9.523810E-01   4.761905E-01   2.835537E-02   2.835545E-02
   1.000000E+00   4.761905E-01   0.000000E+00   2.330214E-17

   0.000000E+00   5.238095E-01   0.000000E+00   0.000000E+00
   4.761905E-02   5.238095E-01   3.342878E-02   3.342889E-02
   9.523810E-02   5.238095E-01   6.607637E-02   6.607657E-02
